"Gender","Level of Study","Household Income","Preferred learning mode","Preferred Social Media Platform","Preferred Communication Platform","Difficulties in Online Learning","6. Online Instructional Strategies/Assessment [Demonstration]","6. Online Instructional Strategies/Assessment [Written assignment]","6. Online Instructional Strategies/Assessment [Digital Lab Experiments]","6. Online Instructional Strategies/Assessment [Live Group Discussions]","6. Online Instructional Strategies/Assessment [Forum]","6. Online Instructional Strategies/Assessment [Case Study]","6. Online Instructional Strategies/Assessment [Journaling]","6. Online Instructional Strategies/Assessment [Video based feedback]","6. Online Instructional Strategies/Assessment [Live Chat]","6. Online Instructional Strategies/Assessment [Brainstorming]","6. Online Instructional Strategies/Assessment [Online Debate]","6. Online Instructional Strategies/Assessment [Blog Writing]","6. Online Instructional Strategies/Assessment [Problem Based Learning]","6. Online Instructional Strategies/Assessment [Internet Research]","6. Online Instructional Strategies/Assessment [Exit tickets (End Class Feedback)]","6. Online Instructional Strategies/Assessment [Learning Reflection]","6. Online Instructional Strategies/Assessment [Online Exercise/Practice]","6. Online Instructional Strategies/Assessment [Procedural Demonstration (Perform a given action)]","6. Online Instructional Strategies/Assessment [Concept Mapping]","6. Online Instructional Strategies/Assessment [Document Analysis]","6. Online Instructional Strategies/Assessment [Debugging]","6. Online Instructional Strategies/Assessment [Review (Article, Play, Movie, Audio, Book, etc.)]","6. Online Instructional Strategies/Assessment [Real Time Online Exam]","6. Online Instructional Strategies/Assessment [Individual Project/Assignment]","6. Online Instructional Strategies/Assessment [Group Project/Assignment]","6. Online Instructional Strategies/Assessment [Online Quiz/Test - MCQ]","6. Online Instructional Strategies/Assessment [Online Quiz/Test - Essay]","6. Online Instructional Strategies/Assessment [Online Quiz/Test - Open Book]","6. Online Instructional Strategies/Assessment [Peer Review Assessment Live Presentation]","6. Online Instructional Strategies/Assessment [Recorded Presentation]","6. Online Instructional Strategies/Assessment [Portfolio]","Are you familiar with the term learning style before this survey?","Are you aware what your learning style is?","Do you think knowing your own learning style is important in improving your learning ability?","1. When operating new equipment for the first time I prefer to","2. When seeking travel directions I","3. When cooking a new dish I","4. To teach someone something I","5. I tend to say","6. I tend to say","7. I tend to say","8. Complaining about faulty goods I tend to","9. I prefer these leisure activities","10. When shopping generally I tend to","11. Choosing a holiday I","12. Choosing a new car I","13. Learning a new skill","14. Choosing from a restaurant menu","15. When listening to a band","16. When concentrating I","17. I remember things best by","18. My first memory is of","19. When anxious I","20. I feel especially connected to others because of","21. When I revise for an exam, I","22. When explaining something to someone, I tend to","23. My main interests are","24. Most of my free time is spent","25. When I first contact a new person","26. I first notice how people","27. If I am very angry","28. I find it easiest to remember","29. I think I can tell someone is lying because","30. When I'm meeting with an old friend"
"Female","Undergraduate","Less than RM 4,849","Face to Face, Synchronous Online Learning (Real Time), Asynchronous Online Learning (On your own time)","Instagram, Blogger/Wordpress, Youtube","Email, Whatsapp, Telegram","Adaptability, Technical Issues, Self-Motivation, Accessibility, Cost/Focus/Commitment","Very Much","Very Much","Undecided","Very Much","Undecided","Undecided","Undecided","Undecided","Somewhat","Somewhat","Undecided","Very Much","Undecided","Very Much","Undecided","Undecided","Somewhat","Undecided","Undecided","Somewhat","Undecided","Very Much","Undecided","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Very Much","Undecided","Yes","Yes","Yes","Listen to or ask for an explaination","Ask for spoken directions","Follow a recipe","Explain verbally","I see what you mean","Show me","You have a go","Go back to the store, or send the faulty item to the head office","Physical activities or making things","Look and decide","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Focus on the words or pictures in front of me","Saying them aloud or repeating words and key points in my head","Doing something","Can't sit still, fiddle and move around constantly","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Watching television","I try to get together to share an activity","Sound and speak","I keep replaying in my mind what it is that has upset me","Faces","The vibes I get from them","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face","Youtube, Google meet","University eLearning Chat Room, Google meet","Adaptability, Technical Issues, Cost/Focus/Commitment","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Yes","Yes","Yes","Read the instructions","Ask for spoken directions","Follow a recipe","Explain verbally","I know how you feel","Tell me","Watch how I do it","Phone","Physical activities or making things","Look and decide","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Focus on the words or pictures in front of me","Doing and practicing the activity or imagining it being done","Looking at something","Talk over in my head what worries me most","What they say to me","Write lots of revision notes","Explain to them in different ways until they understand","Listening to music or listening to the radio or talking to friends","Watching television","I try to get together to share an activity","Sound and speak","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I say ""it's great to see you!"""
"Female","Undergraduate","RM 4,850 - RM10,959","Asynchronous Online Learning (On your own time)","Instagram, Youtube","Whatsapp","Engagement","Somewhat","Somewhat","Somewhat","Not Really","Not Really","Not Really","Not Really","Somewhat","Not Really","Not Really","Not Really","Not Really","Somewhat","Somewhat","Not Really","Undecided","Somewhat","Not Really","Undecided","Undecided","Undecided","Undecided","Not Really","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Undecided","Yes","Yes","Yes","Read the instructions","Look at a map","Follow a recipe","Demonstrate and let them have a go","I know how you feel","Let me try","You have a go","Go back to the store, or send the faulty item to the head office","Music or conversation","Try on, handle or test","Imagine the experience","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Doing and practicing the activity or imagining it being done","Looking at something","Visualize the worst case scenarios","What they say to me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Listening to music or listening to the radio or talking to friends","Watching television","I try to get together to share an activity","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","RM 4,850 - RM10,959","Face to Face","Twitter","Whatsapp, Telegram","Adaptability, Technical Issues, Computer Literacy, Time Management, Self-Motivation, Quality of Material, Engagement, Accessibility, Cost/Focus/Commitment","Very Much","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","No","No","Yes","Read the instructions","Look at a map","Call a friend for explaination","Explain verbally","I know how you feel","Let me try","Watch how I do it","Phone","Physical activities or making things","Try on, handle or test","Listen to recommendations","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I move in time with the music","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Doing something","Talk over in my head what worries me most","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Watching television","I arrange a face to face meeting","Look and dress","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I give them a hug or a handshake"
"Male","Undergraduate","Less than RM 4,849","Face to Face","Twitter","Telegram","Adaptability, Technical Issues, Self-Motivation, Quality of Material, Engagement, Cost/Focus/Commitment","Very Much","Somewhat","Very Much","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Very Much","Very Much","Very Much","Very Much","Very Much","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","Very Much","Very Much","Very Much","Very Much","Yes","Yes","Yes","Have a go and learn by ""trial and error""","Look at a map","Follow my instinct, tasting as I cook","Explain verbally","I see what you mean","Tell me","Listen to me explain","Phone","Music or conversation","Look and decide","Listen to recommendations","Test-drive what you fancy","I talk through with the teacher exactly what I am supposed to do","I talk through the options in my head","I listen to the lyrics and the beats","Discuss the problem and possible solutions in my head","Doing and practicing the activity or imagining it being done","Looking at something","Talk over in my head what worries me most","What they say to me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Listening to music or listening to the radio or talking to friends","Watching television","I try to get together to share an activity","Sound and speak","I keep replaying in my mind what it is that has upset me","Faces","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","RM 4,850 - RM10,959","Face to Face","Instagram","Email, Whatsapp","Technical Issues, Time Management, Self-Motivation, Accessibility","Somewhat","Very Much","Undecided","Very Much","Very Much","Very Much","Somewhat","Very Much","Undecided","Very Much","Undecided","Undecided","Very Much","Very Much","Very Much","Very Much","Very Much","Undecided","Very Much","Somewhat","Undecided","Very Much","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","No","Yes","Yes","Read the instructions","Ask for spoken directions","Follow a recipe","Explain verbally","I know how you feel","Let me try","Listen to me explain","Phone","Physical activities or making things","Look and decide","Imagine the experience","Read the reviews","I watch what the teacher is doing","I imagine what  the food will taste like","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Looking at something","Visualize the worst case scenarios","How they make me","Write lots of revision notes","Encourage them to try and talk them through the idea as they try","Physical/sports activities or fine wines, fine foods or dancing","Watching television","I talk to them on the telephone","Look and dress","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I say ""it's great to see you!"""
"Male","Undergraduate","Less than RM 4,849","Face to Face","Instagram","Whatsapp","Technical Issues","Somewhat","Somewhat","Undecided","Somewhat","Somewhat","Somewhat","Undecided","Undecided","Somewhat","Somewhat","Undecided","Undecided","Somewhat","Somewhat","Undecided","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Undecided","Undecided","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Yes","Yes","Yes","Have a go and learn by ""trial and error""","Look at a map","Follow a recipe","Write Instructions","I know how you feel","Show me","Listen to me explain","Phone","Music or conversation","Look and decide","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Looking at something","Visualize the worst case scenarios","How they look","I talk over my notes, to myself or to other people","Show them what I mean","Listening to music or listening to the radio or talking to friends","Watching television","I arrange a face to face meeting","Look and dress","I shout lots and tell people how I feel","Faces","They avoid looking at you","I say ""it's great to see you!"""
"Male","Undergraduate","More than RM10,960","Face to Face, Synchronous Online Learning (Real Time), Asynchronous Online Learning (On your own time)","Youtube","Email, Whatsapp","Self-Motivation, Cost/Focus/Commitment","Somewhat","Very Much","Very Much","Somewhat","Very Much","Very Much","Somewhat","Very Much","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Undecided","Very Much","Very Much","Undecided","Undecided","Somewhat","Undecided","Somewhat","Somewhat","Very Much","Very Much","Very Much","Undecided","Very Much","Very Much","Very Much","Very Much","No","Yes","Yes","Read the instructions","Look at a map","Follow a recipe","Explain verbally","I see what you mean","Show me","Watch how I do it","Write a letter","Museums or galleries","Look and decide","Read the brochures","Read the reviews","I watch what the teacher is doing","I imagine what the food will look like","I sing along to the lyrics (in my head or out loud)","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Looking at something","Visualize the worst case scenarios","How they look","Write lots of revision notes","Show them what I mean","Photography or watching films or people watching","Doing physical activity or making things","I arrange a face to face meeting","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I say ""it's great to see you!"""
"Male","Undergraduate","Less than RM 4,849","Asynchronous Online Learning (On your own time)","Youtube","Whatsapp","Adaptability, Technical Issues, Computer Literacy, Time Management, Self-Motivation, Quality of Material, Engagement, Accessibility, Cost/Focus/Commitment","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Very Much","Very Much","Very Much","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Very Much","Undecided","Undecided","No","Yes","Yes","Read the instructions","Look at a map","Call a friend for explaination","Demonstrate and let them have a go","I hear what you are saying","Let me try","Listen to me explain","Phone","Physical activities or making things","Look and decide","Imagine the experience","Discuss with friends","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Saying them aloud or repeating words and key points in my head","Looking at something","Visualize the worst case scenarios","How they look","Write lots of revision notes","Encourage them to try and talk them through the idea as they try","Listening to music or listening to the radio or talking to friends","Talking to friends","I talk to them on the telephone","Look and dress","I shout lots and tell people how I feel","Faces","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Asynchronous Online Learning (On your own time)","Instagram","Whatsapp, Telegram","Adaptability","Undecided","Very Much","Undecided","Somewhat","Undecided","Somewhat","Undecided","Undecided","Somewhat","Somewhat","Somewhat","Undecided","Somewhat","Somewhat","Undecided","Somewhat","Undecided","Undecided","Undecided","Undecided","Undecided","Undecided","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","No","Yes","Yes","Listen to or ask for an explaination","Look at a map","Follow a recipe","Explain verbally","I see what you mean","Show me","Listen to me explain","Phone","Music or conversation","Try on, handle or test","Imagine the experience","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Looking at something","Talk over in my head what worries me most","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Listening to music or listening to the radio or talking to friends","Watching television","I try to get together to share an activity","Look and dress","I keep replaying in my mind what it is that has upset me","Names","The vibes I get from them","I give them a hug or a handshake"
"Male","Undergraduate","More than RM10,960","Face to Face","Facebook, Instagram, Youtube","Whatsapp","Time Management, Self-Motivation, Quality of Material","Somewhat","Undecided","Undecided","Somewhat","Undecided","Undecided","Undecided","Undecided","Not Really","Undecided","Not Really","Not at All","Not at All","Somewhat","Not Really","Not Really","Not Really","Not at All","Not Really","Undecided","Undecided","Undecided","Not Really","Not Really","Not Really","Not at All","Not Really","Not at All","Not Really","Not Really","Not at All","Yes","Yes","Yes","Read the instructions","Follow my nose or maybe use a compass","Follow a recipe","Write Instructions","I hear what you are saying","Show me","Watch how I do it","Write a letter","Music or conversation","Discuss with shop staff","Imagine the experience","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I imagine what the food will look like","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Being spoken to","Visualize the worst case scenarios","How they look","Write lots of revision notes","Show them what I mean","Listening to music or listening to the radio or talking to friends","Doing physical activity or making things","I arrange a face to face meeting","Stand and move","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Face to Face","Facebook, Instagram, Youtube","University eLearning Chat Room","Adaptability, Technical Issues, Computer Literacy, Time Management, Self-Motivation, Quality of Material, Engagement, Accessibility, Cost/Focus/Commitment","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Undecided","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Undecided","Very Much","Undecided","Very Much","Undecided","Very Much","Somewhat","Somewhat","Somewhat","No","Yes","Yes","Read the instructions","Look at a map","Follow my instinct, tasting as I cook","Explain verbally","I see what you mean","Tell me","Watch how I do it","Write a letter","Physical activities or making things","Look and decide","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Doing something","Talk over in my head what worries me most","What they say to me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I try to get together to share an activity","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","RM 4,850 - RM10,959","Face to Face, Asynchronous Online Learning (On your own time)","Instagram","Whatsapp","Technical Issues, Self-Motivation, Engagement, Accessibility","Very Much","Not Really","Very Much","Very Much","Very Much","Not Really","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Somewhat","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Yes","Yes","Yes","Have a go and learn by ""trial and error""","Ask for spoken directions","Follow a recipe","Explain verbally","I see what you mean","Let me try","You have a go","Go back to the store, or send the faulty item to the head office","Physical activities or making things","Look and decide","Read the brochures","Read the reviews","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Writing notes or keeping printed details","Being spoken to","Visualize the worst case scenarios","How they make me","Write lots of revision notes","Explain to them in different ways until they understand","Photography or watching films or people watching","Talking to friends","I try to get together to share an activity","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face","Facebook, Instagram, Youtube","Whatsapp, Call, Telegram","Accessibility, Cost/Focus/Commitment","Very Much","Very Much","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Very Much","Very Much","Very Much","Somewhat","No","No","Yes","Read the instructions","Look at a map","Follow a recipe","Explain verbally","I see what you mean","Let me try","Listen to me explain","Write a letter","Physical activities or making things","Look and decide","Listen to recommendations","Discuss with friends","I watch what the teacher is doing","I talk through the options in my head","I move in time with the music","Focus on the words or pictures in front of me","Saying them aloud or repeating words and key points in my head","Being spoken to","Can't sit still, fiddle and move around constantly","What they say to me","Imagine making the movement or creating the formula","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I try to get together to share an activity","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","Their voice changes","I give them a hug or a handshake"
"Male","Undergraduate","RM 4,850 - RM10,959","Face to Face, Synchronous Online Learning (Real Time), Asynchronous Online Learning (On your own time)","Facebook, Instagram, Youtube","Email, Whatsapp, Telegram","Time Management, Self-Motivation, Engagement, Cost/Focus/Commitment","Undecided","Somewhat","Undecided","Undecided","Undecided","Undecided","Undecided","Undecided","Undecided","Undecided","Not at All","Undecided","Undecided","Somewhat","Undecided","Undecided","Undecided","Undecided","Undecided","Undecided","Undecided","Not Really","Somewhat","Somewhat","Not Really","Very Much","Undecided","Somewhat","Undecided","Somewhat","Undecided","No","Yes","Yes","Have a go and learn by ""trial and error""","Look at a map","Follow my instinct, tasting as I cook","Explain verbally","I hear what you are saying","Show me","You have a go","Write a letter","Music or conversation","Look and decide","Imagine the experience","Read the reviews","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I listen to the lyrics and the beats","Discuss the problem and possible solutions in my head","Saying them aloud or repeating words and key points in my head","Doing something","Visualize the worst case scenarios","How they make me","Imagine making the movement or creating the formula","Show them what I mean","Listening to music or listening to the radio or talking to friends","Watching television","I talk to them on the telephone","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","The vibes I get from them","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Face to Face, Asynchronous Online Learning (On your own time)","Instagram, Youtube","Email, Whatsapp, Call","Adaptability, Technical Issues, Time Management, Engagement, Cost/Focus/Commitment","Very Much","Somewhat","Very Much","Undecided","Somewhat","Very Much","Somewhat","Very Much","Undecided","Very Much","Undecided","Undecided","Very Much","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Very Much","Very Much","Somewhat","Somewhat","Very Much","Very Much","Undecided","Very Much","Somewhat","Yes","Yes","Yes","Listen to or ask for an explaination","Look at a map","Follow a recipe","Write Instructions","I hear what you are saying","Show me","Watch how I do it","Phone","Physical activities or making things","Try on, handle or test","Imagine the experience","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Looking at something","Visualize the worst case scenarios","How they make me","Write lots of revision notes","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Doing physical activity or making things","I talk to them on the telephone","Sound and speak","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Synchronous Online Learning (Real Time), Asynchronous Online Learning (On your own time)","Facebook, Instagram, Youtube","Email, University eLearning Chat Room, Whatsapp","Technical Issues, Computer Literacy, Time Management","Somewhat","Very Much","Not at All","Somewhat","Undecided","Not Really","Very Much","Undecided","Very Much","Very Much","Not at All","Not Really","Very Much","Very Much","Not Really","Undecided","Very Much","Undecided","Undecided","Undecided","Undecided","Somewhat","Somewhat","Undecided","Very Much","Somewhat","Somewhat","Somewhat","Not at All","Undecided","Undecided","Yes","Yes","Yes","Have a go and learn by ""trial and error""","Ask for spoken directions","Follow my instinct, tasting as I cook","Explain verbally","I see what you mean","Let me try","You have a go","Write a letter","Music or conversation","Look and decide","Listen to recommendations","Test-drive what you fancy","I like to give it a try and work it out as I go along by doing it","I talk through the options in my head","I move in time with the music","Discuss the problem and possible solutions in my head","Saying them aloud or repeating words and key points in my head","Being spoken to","Talk over in my head what worries me most","How they make me","Imagine making the movement or creating the formula","Encourage them to try and talk them through the idea as they try","Photography or watching films or people watching","Talking to friends","I try to get together to share an activity","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","The vibes I get from them","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face","Blogger/Wordpress","Whatsapp","Cost/Focus/Commitment","Very Much","Very Much","Very Much","Very Much","Not at All","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Not at All","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","Very Much","No","No","Yes","Read the instructions","Ask for spoken directions","Follow a recipe","Explain verbally","I know how you feel","Let me try","Listen to me explain","Write a letter","Museums or galleries","Discuss with shop staff","Imagine the experience","Read the reviews","I talk through with the teacher exactly what I am supposed to do","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Move around a lot, fiddle with pens and pencils and touch unrelated things","Writing notes or keeping printed details","Doing something","Can't sit still, fiddle and move around constantly","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Listening to music or listening to the radio or talking to friends","Talking to friends","I arrange a face to face meeting","Sound and speak","I keep replaying in my mind what it is that has upset me","Things I have done","Their voice changes","I give them a hug or a handshake"
"Female","Undergraduate","Less than RM 4,849","Face to Face, Asynchronous Online Learning (On your own time)","Youtube","Whatsapp","Adaptability, Technical Issues, Time Management, Self-Motivation, Accessibility, Cost/Focus/Commitment","Somewhat","Undecided","Undecided","Somewhat","Undecided","Undecided","Undecided","Undecided","Undecided","Somewhat","Undecided","Undecided","Undecided","Somewhat","Undecided","Somewhat","Undecided","Undecided","Somewhat","Somewhat","Undecided","Undecided","Undecided","Undecided","Somewhat","Somewhat","Undecided","Somewhat","Somewhat","Somewhat","Undecided","Yes","Yes","Yes","Read the instructions","Look at a map","Follow a recipe","Explain verbally","I know how you feel","Let me try","You have a go","Write a letter","Physical activities or making things","Try on, handle or test","Listen to recommendations","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I listen to the lyrics and the beats","Focus on the words or pictures in front of me","Writing notes or keeping printed details","Doing something","Visualize the worst case scenarios","How they make me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Physical/sports activities or fine wines, fine foods or dancing","Talking to friends","I talk to them on the telephone","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I say ""it's great to see you!"""
"Female","Undergraduate","Less than RM 4,849","Face to Face, Synchronous Online Learning (Real Time), Asynchronous Online Learning (On your own time)","Youtube","Email, University eLearning Chat Room, Whatsapp","Technical Issues, Self-Motivation, Accessibility, Cost/Focus/Commitment","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Very Much","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Somewhat","Undecided","Very Much","Very Much","Undecided","Very Much","Somewhat","Somewhat","Undecided","Yes","Yes","Yes","Listen to or ask for an explaination","Look at a map","Follow a recipe","Explain verbally","I see what you mean","Let me try","Listen to me explain","Phone","Physical activities or making things","Try on, handle or test","Read the brochures","Read the reviews","I like to give it a try and work it out as I go along by doing it","I imagine what  the food will taste like","I sing along to the lyrics (in my head or out loud)","Discuss the problem and possible solutions in my head","Saying them aloud or repeating words and key points in my head","Doing something","Talk over in my head what worries me most","What they say to me","I talk over my notes, to myself or to other people","Explain to them in different ways until they understand","Photography or watching films or people watching","Doing physical activity or making things","I try to get together to share an activity","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","They avoid looking at you","I give them a hug or a handshake"
"Female","Undergraduate","More than RM10,960","Synchronous Online Learning (Real Time), Asynchronous Online Learning (On your own time)","Youtube","University eLearning Chat Room","Technical Issues, Time Management, Self-Motivation, Cost/Focus/Commitment","Very Much","Undecided","Somewhat","Undecided","Somewhat","Somewhat","Undecided","Somewhat","Somewhat","Somewhat","Undecided","Undecided","Somewhat","Very Much","Very Much","Very Much","Very Much","Very Much","Somewhat","Somewhat","Undecided","Not Really","Very Much","Somewhat","Very Much","Very Much","Undecided","Very Much","Very Much","Very Much","Very Much","Yes","Yes","Yes","Listen to or ask for an explaination","Ask for spoken directions","Follow a recipe","Explain verbally","I see what you mean","Let me try","You have a go","Write a letter","Music or conversation","Try on, handle or test","Listen to recommendations","Read the reviews","I watch what the teacher is doing","I imagine what  the food will taste like","I move in time with the music","Move around a lot, fiddle with pens and pencils and touch unrelated things","Saying them aloud or repeating words and key points in my head","Doing something","Talk over in my head what worries me most","How they make me","I talk over my notes, to myself or to other people","Show them what I mean","Photography or watching films or people watching","Watching television","I talk to them on the telephone","Look and dress","I keep replaying in my mind what it is that has upset me","Faces","The vibes I get from them","I give them a hug or a handshake"
